col,sky,wavelength
0,0.00E+00,24693.851
1,0.00E+00,24691.042
2,0.00E+00,24688.233
3,0.00E+00,24685.423
4,0.00E+00,24682.614
5,0.00E+00,24679.805
6,0.00E+00,24676.995
7,0.00E+00,24674.186
8,0.00E+00,24671.376
9,0.00E+00,24668.567
10,0.00E+00,24665.757
11,0.00E+00,24662.948
12,4.24E+00,24660.138
13,4.50E+00,24657.329
14,4.55E+00,24654.519
15,5.07E+00,24651.709
16,5.83E+00,24648.9
17,6.05E+00,24646.09
18,5.97E+00,24643.281
19,6.28E+00,24640.471
20,6.92E+00,24637.661
21,8.57E+00,24634.851
22,1.04E+01,24632.042
23,1.09E+01,24629.232
24,1.01E+01,24626.422
25,8.80E+00,24623.612
26,7.08E+00,24620.803
27,5.55E+00,24617.993
28,4.72E+00,24615.183
29,4.44E+00,24612.373
30,4.26E+00,24609.563
31,4.10E+00,24606.753
32,4.06E+00,24603.943
33,4.11E+00,24601.133
34,4.17E+00,24598.324
35,4.24E+00,24595.514
36,4.14E+00,24592.704
37,4.11E+00,24589.894
38,4.03E+00,24587.084
39,3.95E+00,24584.274
40,3.94E+00,24581.463
41,3.93E+00,24578.653
42,4.03E+00,24575.843
43,4.07E+00,24573.033
44,4.20E+00,24570.223
45,4.24E+00,24567.413
46,4.23E+00,24564.603
47,4.20E+00,24561.793
48,4.33E+00,24558.982
49,4.96E+00,24556.172
50,6.52E+00,24553.362
51,8.06E+00,24550.552
52,8.50E+00,24547.741
53,8.59E+00,24544.931
54,8.42E+00,24542.121
55,7.28E+00,24539.31
56,6.34E+00,24536.5
57,5.66E+00,24533.69
58,5.01E+00,24530.879
59,4.84E+00,24528.069
60,5.31E+00,24525.258
61,6.77E+00,24522.448
62,8.94E+00,24519.637
63,1.10E+01,24516.827
64,1.17E+01,24514.016
65,1.15E+01,24511.206
66,1.14E+01,24508.395
67,1.09E+01,24505.585
68,9.53E+00,24502.774
69,8.17E+00,24499.964
70,6.61E+00,24497.153
71,5.17E+00,24494.342
72,4.62E+00,24491.532
73,4.94E+00,24488.721
74,5.85E+00,24485.91
75,6.77E+00,24483.1
76,7.67E+00,24480.289
77,8.76E+00,24477.478
78,8.96E+00,24474.667
79,8.62E+00,24471.857
80,9.16E+00,24469.046
81,1.03E+01,24466.235
82,1.12E+01,24463.424
83,1.08E+01,24460.613
84,9.26E+00,24457.802
85,7.03E+00,24454.992
86,5.26E+00,24452.181
87,4.48E+00,24449.37
88,4.15E+00,24446.559
89,4.07E+00,24443.748
90,4.11E+00,24440.937
91,4.37E+00,24438.126
92,5.04E+00,24435.315
93,5.57E+00,24432.504
94,5.59E+00,24429.693
95,5.18E+00,24426.882
96,4.52E+00,24424.071
97,4.04E+00,24421.259
98,3.83E+00,24418.448
99,3.79E+00,24415.637
100,3.78E+00,24412.826
101,3.72E+00,24410.015
102,3.70E+00,24407.204
103,3.77E+00,24404.392
104,3.69E+00,24401.581
105,3.73E+00,24398.77
106,3.69E+00,24395.959
107,3.76E+00,24393.147
108,3.75E+00,24390.336
109,3.75E+00,24387.525
110,3.83E+00,24384.713
111,3.86E+00,24381.902
112,4.03E+00,24379.09
113,4.34E+00,24376.279
114,5.08E+00,24373.468
115,6.82E+00,24370.656
116,9.26E+00,24367.845
117,1.12E+01,24365.033
118,1.21E+01,24362.222
119,1.29E+01,24359.41
120,1.30E+01,24356.599
121,1.23E+01,24353.787
122,1.04E+01,24350.975
123,7.86E+00,24348.164
124,5.98E+00,24345.352
125,5.09E+00,24342.541
126,5.40E+00,24339.729
127,6.27E+00,24336.917
128,6.54E+00,24334.105
129,6.07E+00,24331.294
130,4.97E+00,24328.482
131,4.15E+00,24325.67
132,3.75E+00,24322.858
133,3.61E+00,24320.047
134,3.62E+00,24317.235
135,3.67E+00,24314.423
136,3.63E+00,24311.611
137,3.61E+00,24308.799
138,3.70E+00,24305.987
139,3.73E+00,24303.176
140,3.75E+00,24300.364
141,3.71E+00,24297.552
142,3.66E+00,24294.74
143,3.60E+00,24291.928
144,3.59E+00,24289.116
145,3.59E+00,24286.304
146,3.51E+00,24283.492
147,3.51E+00,24280.68
148,3.56E+00,24277.868
149,3.70E+00,24275.055
150,3.97E+00,24272.243
151,4.96E+00,24269.431
152,6.08E+00,24266.619
153,6.24E+00,24263.807
154,5.43E+00,24260.995
155,4.47E+00,24258.182
156,4.08E+00,24255.37
157,4.18E+00,24252.558
158,4.38E+00,24249.746
159,5.02E+00,24246.933
160,6.00E+00,24244.121
161,6.22E+00,24241.309
162,5.50E+00,24238.497
163,4.33E+00,24235.684
164,3.73E+00,24232.872
165,3.65E+00,24230.059
166,3.97E+00,24227.247
167,4.47E+00,24224.435
168,4.65E+00,24221.622
169,4.40E+00,24218.81
170,3.94E+00,24215.997
171,3.68E+00,24213.185
172,3.69E+00,24210.372
173,3.71E+00,24207.56
174,3.92E+00,24204.747
175,4.57E+00,24201.934
176,6.34E+00,24199.122
177,8.64E+00,24196.309
178,1.03E+01,24193.497
179,1.06E+01,24190.684
180,9.66E+00,24187.871
181,8.12E+00,24185.058
182,6.10E+00,24182.246
183,4.46E+00,24179.433
184,3.90E+00,24176.62
185,3.83E+00,24173.807
186,4.23E+00,24170.995
187,5.47E+00,24168.182
188,7.91E+00,24165.369
189,9.80E+00,24162.556
190,9.72E+00,24159.743
191,7.30E+00,24156.93
192,5.16E+00,24154.118
193,4.42E+00,24151.305
194,5.27E+00,24148.492
195,6.40E+00,24145.679
196,6.63E+00,24142.866
197,5.78E+00,24140.053
198,4.67E+00,24137.24
199,3.94E+00,24134.427
200,3.59E+00,24131.614
201,3.67E+00,24128.801
202,4.00E+00,24125.987
203,4.63E+00,24123.174
204,5.29E+00,24120.361
205,5.18E+00,24117.548
206,4.39E+00,24114.735
207,3.68E+00,24111.922
208,3.59E+00,24109.108
209,4.10E+00,24106.295
210,5.28E+00,24103.482
211,6.27E+00,24100.669
212,5.87E+00,24097.855
213,4.52E+00,24095.042
214,3.64E+00,24092.229
215,3.42E+00,24089.415
216,3.48E+00,24086.602
217,3.82E+00,24083.789
218,4.66E+00,24080.975
219,5.46E+00,24078.162
220,5.98E+00,24075.348
221,6.35E+00,24072.535
222,6.14E+00,24069.721
223,5.25E+00,24066.908
224,4.56E+00,24064.095
225,4.34E+00,24061.281
226,3.98E+00,24058.467
227,3.61E+00,24055.654
228,3.58E+00,24052.84
229,4.01E+00,24050.027
230,5.45E+00,24047.213
231,6.84E+00,24044.399
232,6.48E+00,24041.586
233,4.67E+00,24038.772
234,3.63E+00,24035.958
235,3.33E+00,24033.145
236,3.29E+00,24030.331
237,3.28E+00,24027.517
238,3.30E+00,24024.703
239,3.44E+00,24021.889
240,3.49E+00,24019.076
241,3.36E+00,24016.262
242,3.27E+00,24013.448
243,3.48E+00,24010.634
244,4.09E+00,24007.82
245,4.62E+00,24005.006
246,4.31E+00,24002.192
247,3.60E+00,23999.378
248,3.27E+00,23996.564
249,3.26E+00,23993.75
250,3.30E+00,23990.936
251,3.34E+00,23988.122
252,3.39E+00,23985.308
253,3.38E+00,23982.494
254,3.50E+00,23979.68
255,4.08E+00,23976.866
256,4.88E+00,23974.052
257,5.61E+00,23971.238
258,5.86E+00,23968.424
259,5.04E+00,23965.609
260,3.80E+00,23962.795
261,3.28E+00,23959.981
262,3.27E+00,23957.167
263,3.25E+00,23954.352
264,3.25E+00,23951.538
265,3.51E+00,23948.724
266,3.76E+00,23945.91
267,3.64E+00,23943.095
268,3.33E+00,23940.281
269,3.21E+00,23937.467
270,3.25E+00,23934.652
271,3.26E+00,23931.838
272,3.23E+00,23929.023
273,3.31E+00,23926.209
274,3.54E+00,23923.394
275,4.34E+00,23920.58
276,5.91E+00,23917.765
277,6.50E+00,23914.951
278,5.12E+00,23912.136
279,3.82E+00,23909.322
280,3.34E+00,23906.507
281,3.21E+00,23903.692
282,3.27E+00,23900.878
283,3.25E+00,23898.063
284,3.14E+00,23895.249
285,3.14E+00,23892.434
286,3.27E+00,23889.619
287,3.93E+00,23886.804
288,5.21E+00,23883.99
289,5.44E+00,23881.175
290,4.28E+00,23878.36
291,3.38E+00,23875.545
292,3.25E+00,23872.731
293,3.28E+00,23869.916
294,3.61E+00,23867.101
295,4.33E+00,23864.286
296,5.09E+00,23861.471
297,4.83E+00,23858.656
298,3.72E+00,23855.841
299,3.26E+00,23853.026
300,3.31E+00,23850.211
301,3.83E+00,23847.396
302,4.95E+00,23844.581
303,5.93E+00,23841.766
304,5.77E+00,23838.951
305,5.28E+00,23836.136
306,4.97E+00,23833.321
307,4.00E+00,23830.506
308,3.44E+00,23827.691
309,3.29E+00,23824.876
310,3.09E+00,23822.06
311,2.97E+00,23819.245
312,2.91E+00,23816.43
313,3.04E+00,23813.615
314,3.32E+00,23810.8
315,3.49E+00,23807.984
316,3.48E+00,23805.169
317,3.35E+00,23802.354
318,3.47E+00,23799.538
319,3.50E+00,23796.723
320,3.26E+00,23793.908
321,3.16E+00,23791.092
322,3.54E+00,23788.277
323,4.86E+00,23785.462
324,5.82E+00,23782.646
325,4.82E+00,23779.831
326,3.52E+00,23777.015
327,3.32E+00,23774.2
328,3.54E+00,23771.384
329,4.08E+00,23768.569
330,4.29E+00,23765.753
331,3.77E+00,23762.937
332,3.09E+00,23760.122
333,2.92E+00,23757.306
334,2.92E+00,23754.491
335,2.98E+00,23751.675
336,2.97E+00,23748.859
337,2.90E+00,23746.044
338,2.88E+00,23743.228
339,3.00E+00,23740.412
340,3.07E+00,23737.596
341,3.02E+00,23734.781
342,3.18E+00,23731.965
343,3.30E+00,23729.149
344,3.25E+00,23726.333
345,3.26E+00,23723.517
346,3.59E+00,23720.702
347,4.40E+00,23717.886
348,5.19E+00,23715.07
349,4.88E+00,23712.254
350,4.54E+00,23709.438
351,4.58E+00,23706.622
352,4.15E+00,23703.806
353,3.43E+00,23700.99
354,3.06E+00,23698.174
355,3.03E+00,23695.358
356,3.43E+00,23692.542
357,3.75E+00,23689.726
358,3.48E+00,23686.91
359,3.01E+00,23684.093
360,2.97E+00,23681.277
361,3.19E+00,23678.461
362,3.58E+00,23675.645
363,3.87E+00,23672.829
364,3.39E+00,23670.013
365,2.91E+00,23667.196
366,2.88E+00,23664.38
367,2.87E+00,23661.564
368,2.74E+00,23658.748
369,2.67E+00,23655.931
370,2.71E+00,23653.115
371,2.74E+00,23650.299
372,2.87E+00,23647.482
373,3.11E+00,23644.666
374,3.56E+00,23641.849
375,3.58E+00,23639.033
376,3.12E+00,23636.216
377,2.86E+00,23633.4
378,2.73E+00,23630.583
379,2.69E+00,23627.767
380,2.68E+00,23624.95
381,2.71E+00,23622.134
382,2.88E+00,23619.317
383,2.88E+00,23616.501
384,2.76E+00,23613.684
385,2.68E+00,23610.868
386,2.68E+00,23608.051
387,2.66E+00,23605.234
388,2.69E+00,23602.417
389,2.56E+00,23599.601
390,2.62E+00,23596.784
391,2.76E+00,23593.967
392,3.08E+00,23591.151
393,3.51E+00,23588.334
394,3.56E+00,23585.517
395,3.20E+00,23582.7
396,2.81E+00,23579.883
397,2.75E+00,23577.066
398,2.89E+00,23574.25
399,2.96E+00,23571.433
400,2.92E+00,23568.616
401,2.86E+00,23565.799
402,2.98E+00,23562.982
403,3.11E+00,23560.165
404,2.92E+00,23557.348
405,2.65E+00,23554.531
406,2.65E+00,23551.714
407,2.67E+00,23548.897
408,2.66E+00,23546.08
409,2.63E+00,23543.263
410,2.77E+00,23540.445
411,2.99E+00,23537.628
412,3.12E+00,23534.811
413,3.15E+00,23531.994
414,3.45E+00,23529.177
415,4.36E+00,23526.36
416,4.40E+00,23523.542
417,3.73E+00,23520.725
418,3.75E+00,23517.908
419,3.47E+00,23515.09
420,3.05E+00,23512.273
421,3.12E+00,23509.456
422,3.21E+00,23506.638
423,3.05E+00,23503.821
424,3.10E+00,23501.004
425,3.36E+00,23498.186
426,3.20E+00,23495.369
427,2.79E+00,23492.551
428,2.59E+00,23489.734
429,2.60E+00,23486.916
430,2.72E+00,23484.099
431,2.82E+00,23481.281
432,2.83E+00,23478.464
433,2.80E+00,23475.646
434,2.68E+00,23472.829
435,2.63E+00,23470.011
436,2.65E+00,23467.193
437,2.59E+00,23464.376
438,2.52E+00,23461.558
439,2.59E+00,23458.74
440,2.63E+00,23455.923
441,2.82E+00,23453.105
442,2.91E+00,23450.287
443,2.67E+00,23447.469
444,2.50E+00,23444.652
445,2.45E+00,23441.834
446,2.51E+00,23439.016
447,2.56E+00,23436.198
448,2.52E+00,23433.38
449,2.48E+00,23430.562
450,2.51E+00,23427.745
451,2.67E+00,23424.927
452,3.08E+00,23422.109
453,3.06E+00,23419.291
454,2.77E+00,23416.473
455,2.81E+00,23413.655
456,2.79E+00,23410.837
457,2.73E+00,23408.019
458,2.96E+00,23405.201
459,3.02E+00,23402.382
460,2.81E+00,23399.564
461,2.60E+00,23396.746
462,2.51E+00,23393.928
463,2.65E+00,23391.11
464,2.71E+00,23388.292
465,2.58E+00,23385.474
466,2.51E+00,23382.655
467,2.44E+00,23379.837
468,2.43E+00,23377.019
469,2.39E+00,23374.201
470,2.31E+00,23371.382
471,2.32E+00,23368.564
472,2.38E+00,23365.745
473,2.41E+00,23362.927
474,2.41E+00,23360.109
475,2.34E+00,23357.29
476,2.47E+00,23354.472
477,2.53E+00,23351.653
478,2.50E+00,23348.835
479,2.34E+00,23346.017
480,2.36E+00,23343.198
481,2.39E+00,23340.38
482,2.34E+00,23337.561
483,2.29E+00,23334.742
484,2.27E+00,23331.924
485,2.39E+00,23329.105
486,2.48E+00,23326.287
487,2.42E+00,23323.468
488,2.40E+00,23320.649
489,2.57E+00,23317.831
490,2.57E+00,23315.012
491,2.44E+00,23312.193
492,2.32E+00,23309.374
493,2.31E+00,23306.556
494,2.34E+00,23303.737
495,2.34E+00,23300.918
496,2.33E+00,23298.099
497,2.39E+00,23295.28
498,2.35E+00,23292.462
499,2.32E+00,23289.643
500,2.47E+00,23286.824
501,2.45E+00,23284.005
502,2.31E+00,23281.186
503,2.20E+00,23278.367
504,2.20E+00,23275.548
505,2.20E+00,23272.729
506,2.21E+00,23269.91
507,2.26E+00,23267.091
508,2.25E+00,23264.272
509,2.18E+00,23261.453
510,2.20E+00,23258.634
511,2.38E+00,23255.815
512,2.67E+00,23252.995
513,2.74E+00,23250.176
514,2.61E+00,23247.357
515,2.34E+00,23244.538
516,2.21E+00,23241.719
517,2.28E+00,23238.899
518,2.32E+00,23236.08
519,2.55E+00,23233.261
520,2.57E+00,23230.442
521,2.55E+00,23227.622
522,2.52E+00,23224.803
523,2.67E+00,23221.984
524,2.78E+00,23219.164
525,2.39E+00,23216.345
526,2.28E+00,23213.525
527,2.44E+00,23210.706
528,2.64E+00,23207.886
529,2.49E+00,23205.067
530,2.23E+00,23202.247
531,2.16E+00,23199.428
532,2.20E+00,23196.608
533,2.17E+00,23193.789
534,2.20E+00,23190.969
535,2.26E+00,23188.15
536,2.36E+00,23185.33
537,2.44E+00,23182.51
538,2.41E+00,23179.691
539,2.39E+00,23176.871
540,2.51E+00,23174.051
541,2.61E+00,23171.232
542,2.61E+00,23168.412
543,2.42E+00,23165.592
544,2.26E+00,23162.772
545,2.18E+00,23159.953
546,2.11E+00,23157.133
547,2.03E+00,23154.313
548,2.09E+00,23151.493
549,2.03E+00,23148.673
550,1.99E+00,23145.853
551,1.98E+00,23143.033
552,2.02E+00,23140.213
553,2.02E+00,23137.393
554,2.02E+00,23134.573
555,2.07E+00,23131.753
556,2.09E+00,23128.933
557,2.03E+00,23126.113
558,2.02E+00,23123.293
559,2.03E+00,23120.473
560,2.11E+00,23117.653
561,2.18E+00,23114.833
562,2.11E+00,23112.013
563,2.05E+00,23109.193
564,2.19E+00,23106.372
565,2.24E+00,23103.552
566,2.10E+00,23100.732
567,2.02E+00,23097.912
568,2.06E+00,23095.091
569,2.20E+00,23092.271
570,2.20E+00,23089.451
571,2.11E+00,23086.631
572,2.00E+00,23083.81
573,2.06E+00,23080.99
574,2.20E+00,23078.169
575,2.23E+00,23075.349
576,2.05E+00,23072.529
577,1.96E+00,23069.708
578,1.99E+00,23066.888
579,1.98E+00,23064.067
580,1.94E+00,23061.247
581,2.01E+00,23058.426
582,1.99E+00,23055.606
583,1.98E+00,23052.785
584,1.96E+00,23049.965
585,1.99E+00,23047.144
586,2.05E+00,23044.323
587,1.98E+00,23041.503
588,1.98E+00,23038.682
589,2.01E+00,23035.861
590,1.96E+00,23033.041
591,1.92E+00,23030.22
592,1.96E+00,23027.399
593,1.97E+00,23024.578
594,1.93E+00,23021.758
595,1.89E+00,23018.937
596,1.90E+00,23016.116
597,1.90E+00,23013.295
598,1.95E+00,23010.474
599,1.97E+00,23007.653
600,2.01E+00,23004.832
601,1.99E+00,23002.011
602,1.92E+00,22999.19
603,1.92E+00,22996.369
604,2.00E+00,22993.548
605,2.32E+00,22990.727
606,2.87E+00,22987.906
607,2.99E+00,22985.085
608,2.58E+00,22982.264
609,2.15E+00,22979.443
610,2.11E+00,22976.622
611,2.00E+00,22973.801
612,1.99E+00,22970.98
613,2.16E+00,22968.159
614,2.10E+00,22965.337
615,1.93E+00,22962.516
616,1.96E+00,22959.695
617,2.17E+00,22956.874
618,2.32E+00,22954.052
619,2.30E+00,22951.231
620,2.22E+00,22948.41
621,2.11E+00,22945.588
622,2.32E+00,22942.767
623,2.67E+00,22939.946
624,2.42E+00,22937.124
625,1.91E+00,22934.303
626,1.76E+00,22931.481
627,1.80E+00,22928.66
628,1.89E+00,22925.838
629,1.93E+00,22923.017
630,1.87E+00,22920.195
631,1.87E+00,22917.374
632,1.87E+00,22914.552
633,1.86E+00,22911.731
634,1.78E+00,22908.909
635,1.78E+00,22906.087
636,1.88E+00,22903.266
637,1.94E+00,22900.444
638,1.96E+00,22897.622
639,1.91E+00,22894.801
640,1.84E+00,22891.979
641,1.79E+00,22889.157
642,1.76E+00,22886.336
643,1.76E+00,22883.514
644,1.79E+00,22880.692
645,1.81E+00,22877.87
646,1.87E+00,22875.048
647,1.85E+00,22872.226
648,1.85E+00,22869.405
649,1.87E+00,22866.583
650,1.79E+00,22863.761
651,1.79E+00,22860.939
652,1.80E+00,22858.117
653,1.83E+00,22855.295
654,1.81E+00,22852.473
655,1.79E+00,22849.651
656,1.73E+00,22846.829
657,1.75E+00,22844.007
658,1.84E+00,22841.184
659,1.78E+00,22838.362
660,1.72E+00,22835.54
661,1.79E+00,22832.718
662,1.89E+00,22829.896
663,1.82E+00,22827.074
664,1.73E+00,22824.252
665,1.66E+00,22821.429
666,1.69E+00,22818.607
667,1.68E+00,22815.785
668,1.67E+00,22812.962
669,1.73E+00,22810.14
670,1.80E+00,22807.318
671,1.74E+00,22804.495
672,1.67E+00,22801.673
673,1.65E+00,22798.851
674,1.64E+00,22796.028
675,1.66E+00,22793.206
676,1.66E+00,22790.383
677,1.65E+00,22787.561
678,1.71E+00,22784.738
679,1.68E+00,22781.916
680,1.66E+00,22779.093
681,1.67E+00,22776.271
682,1.71E+00,22773.448
683,1.73E+00,22770.626
684,1.73E+00,22767.803
685,1.72E+00,22764.98
686,1.76E+00,22762.158
687,1.82E+00,22759.335
688,1.80E+00,22756.512
689,1.76E+00,22753.689
690,1.71E+00,22750.867
691,2.00E+00,22748.044
692,3.15E+00,22745.221
693,4.23E+00,22742.398
694,3.56E+00,22739.575
695,2.20E+00,22736.753
696,1.71E+00,22733.93
697,1.66E+00,22731.107
698,1.66E+00,22728.284
699,1.71E+00,22725.461
700,1.72E+00,22722.638
701,1.71E+00,22719.815
702,1.84E+00,22716.992
703,1.88E+00,22714.169
704,1.74E+00,22711.346
705,1.63E+00,22708.523
706,1.78E+00,22705.7
707,1.99E+00,22702.877
708,1.94E+00,22700.054
709,1.95E+00,22697.231
710,2.32E+00,22694.407
711,3.06E+00,22691.584
712,3.06E+00,22688.761
713,2.23E+00,22685.938
714,1.95E+00,22683.114
715,1.86E+00,22680.291
716,1.69E+00,22677.468
717,1.63E+00,22674.645
718,1.69E+00,22671.821
719,1.65E+00,22668.998
720,1.60E+00,22666.175
721,1.52E+00,22663.351
722,1.55E+00,22660.528
723,1.52E+00,22657.704
724,1.60E+00,22654.881
725,1.81E+00,22652.057
726,1.97E+00,22649.234
727,1.85E+00,22646.41
728,1.98E+00,22643.587
729,1.92E+00,22640.763
730,1.68E+00,22637.94
731,1.56E+00,22635.116
732,1.50E+00,22632.292
733,1.52E+00,22629.469
734,1.67E+00,22626.645
735,1.85E+00,22623.821
736,1.96E+00,22620.998
737,1.96E+00,22618.174
738,1.70E+00,22615.35
739,1.56E+00,22612.527
740,1.56E+00,22609.703
741,1.49E+00,22606.879
742,1.46E+00,22604.055
743,1.48E+00,22601.231
744,1.53E+00,22598.408
745,1.50E+00,22595.584
746,1.45E+00,22592.76
747,1.45E+00,22589.936
748,1.45E+00,22587.112
749,1.47E+00,22584.288
750,1.50E+00,22581.464
751,1.47E+00,22578.64
