col,sky,wavelength
0,0,10646.087
1,0,10644.886
2,0,10643.686
3,0,10642.486
4,0,10641.285
5,0,10640.085
6,0,10638.885
7,0,10637.684
8,0,10636.484
9,0,10635.283
10,0,10634.083
11,0,10632.882
12,0.201,10631.682
13,0.209,10630.482
14,0.211,10629.281
15,0.223,10628.081
16,0.206,10626.88
17,0.221,10625.68
18,0.228,10624.479
19,0.21,10623.278
20,0.236,10622.078
21,0.221,10620.877
22,0.191,10619.676
23,0.223,10618.476
24,0.188,10617.275
25,0.186,10616.074
26,0.21,10614.874
27,0.185,10613.673
28,0.188,10612.472
29,0.212,10611.271
30,0.214,10610.07
31,0.202,10608.87
32,0.216,10607.669
33,0.206,10606.468
34,0.208,10605.267
35,0.227,10604.066
36,0.21,10602.865
37,0.207,10601.665
38,0.218,10600.463
39,0.211,10599.263
40,0.205,10598.062
41,0.216,10596.861
42,0.217,10595.66
43,0.19,10594.459
44,0.198,10593.257
45,0.223,10592.056
46,0.208,10590.855
47,0.201,10589.654
48,0.205,10588.453
49,0.201,10587.252
50,0.193,10586.051
51,0.205,10584.85
52,0.201,10583.649
53,0.186,10582.447
54,0.182,10581.246
55,0.199,10580.045
56,0.196,10578.843
57,0.193,10577.642
58,0.198,10576.441
59,0.191,10575.24
60,0.196,10574.038
61,0.179,10572.837
62,0.207,10571.636
63,0.215,10570.434
64,0.212,10569.233
65,0.2,10568.031
66,0.199,10566.83
67,0.219,10565.629
68,0.218,10564.427
69,0.185,10563.226
70,0.186,10562.024
71,0.208,10560.822
72,0.228,10559.621
73,0.216,10558.419
74,0.2,10557.218
75,0.21,10556.016
76,0.203,10554.815
77,0.219,10553.613
78,0.222,10552.411
79,0.217,10551.21
80,0.213,10550.008
81,0.206,10548.806
82,0.219,10547.604
83,0.217,10546.403
84,0.212,10545.201
85,0.208,10543.999
86,0.219,10542.797
87,0.208,10541.595
88,0.209,10540.393
89,0.218,10539.192
90,0.214,10537.99
91,0.21,10536.788
92,0.23,10535.586
93,0.219,10534.384
94,0.215,10533.182
95,0.227,10531.98
96,0.249,10530.778
97,0.261,10529.576
98,0.278,10528.374
99,0.271,10527.172
100,0.248,10525.97
101,0.253,10524.768
102,0.226,10523.566
103,0.231,10522.364
104,0.225,10521.162
105,0.242,10519.959
106,0.205,10518.757
107,0.234,10517.555
108,0.237,10516.353
109,0.224,10515.15
110,0.249,10513.948
111,0.244,10512.746
112,0.264,10511.544
113,0.273,10510.342
114,0.249,10509.139
115,0.238,10507.937
116,0.236,10506.735
117,0.253,10505.532
118,0.268,10504.33
119,0.256,10503.127
120,0.244,10501.925
121,0.25,10500.722
122,0.248,10499.52
123,0.253,10498.318
124,0.254,10497.115
125,0.275,10495.913
126,0.253,10494.71
127,0.262,10493.507
128,0.264,10492.305
129,0.248,10491.102
130,0.256,10489.899
131,0.275,10488.697
132,0.28,10487.494
133,0.256,10486.292
134,0.265,10485.089
135,0.256,10483.886
136,0.253,10482.684
137,0.244,10481.481
138,0.229,10480.278
139,0.211,10479.075
140,0.239,10477.872
141,0.251,10476.67
142,0.255,10475.467
143,0.295,10474.264
144,0.342,10473.061
145,0.377,10471.858
146,0.351,10470.655
147,0.278,10469.452
148,0.276,10468.25
149,0.245,10467.047
150,0.231,10465.843
151,0.24,10464.641
152,0.242,10463.438
153,0.228,10462.235
154,0.248,10461.032
155,0.234,10459.828
156,0.248,10458.625
157,0.253,10457.422
158,0.274,10456.219
159,0.3,10455.016
160,0.296,10453.813
161,0.315,10452.61
162,0.277,10451.406
163,0.26,10450.203
164,0.234,10449
165,0.227,10447.797
166,0.248,10446.593
167,0.275,10445.39
