col,sky,wavelength
0,0.00E+00,14860.462
1,0.00E+00,14858.784
2,0.00E+00,14857.106
3,0.00E+00,14855.428
4,0.00E+00,14853.75
5,0.00E+00,14852.072
6,0.00E+00,14850.393
7,0.00E+00,14848.715
8,0.00E+00,14847.037
9,0.00E+00,14845.358
10,0.00E+00,14843.68
11,0.00E+00,14842.002
12,2.93E-01,14840.323
13,3.35E-01,14838.645
14,5.89E-01,14836.966
15,1.35E+00,14835.288
16,1.94E+00,14833.61
17,1.83E+00,14831.932
18,1.15E+00,14830.253
19,5.05E-01,14828.574
20,2.89E-01,14826.896
21,3.11E-01,14825.217
22,2.99E-01,14823.539
23,3.04E-01,14821.86
24,2.22E-01,14820.182
25,2.44E-01,14818.503
26,2.82E-01,14816.824
27,2.70E-01,14815.146
28,2.83E-01,14813.467
29,2.83E-01,14811.788
30,3.16E-01,14810.11
31,3.95E-01,14808.431
32,5.26E-01,14806.752
33,5.19E-01,14805.073
34,5.65E-01,14803.395
35,8.17E-01,14801.716
36,1.02E+00,14800.037
37,9.27E-01,14798.358
38,6.04E-01,14796.679
39,3.67E-01,14795.001
40,2.83E-01,14793.322
41,3.17E-01,14791.642
42,2.84E-01,14789.964
43,3.43E-01,14788.285
44,5.82E-01,14786.606
45,1.04E+00,14784.927
46,1.20E+00,14783.248
47,7.82E-01,14781.569
48,4.10E-01,14779.89
49,2.55E-01,14778.21
50,3.01E-01,14776.532
51,4.55E-01,14774.852
52,6.26E-01,14773.173
53,6.15E-01,14771.494
54,4.37E-01,14769.815
55,2.94E-01,14768.136
56,2.50E-01,14766.456
57,2.58E-01,14764.777
58,3.16E-01,14763.098
59,2.45E-01,14761.418
60,2.84E-01,14759.739
61,3.60E-01,14758.06
62,4.06E-01,14756.38
63,4.85E-01,14754.701
64,3.68E-01,14753.022
65,3.12E-01,14751.342
66,2.94E-01,14749.663
67,3.11E-01,14747.983
68,3.08E-01,14746.304
69,3.06E-01,14744.625
70,4.23E-01,14742.945
71,6.13E-01,14741.265
72,6.87E-01,14739.586
73,4.42E-01,14737.906
74,2.91E-01,14736.227
75,2.64E-01,14734.547
76,2.58E-01,14732.868
77,2.58E-01,14731.188
78,2.85E-01,14729.508
79,2.73E-01,14727.828
80,2.20E-01,14726.148
81,1.95E-01,14724.469
82,2.38E-01,14722.789
83,2.29E-01,14721.11
84,2.69E-01,14719.429
85,2.84E-01,14717.75
86,2.32E-01,14716.07
87,2.71E-01,14714.39
88,2.55E-01,14712.71
89,2.34E-01,14711.03
90,2.06E-01,14709.35
91,2.16E-01,14707.67
92,2.29E-01,14705.99
93,2.76E-01,14704.31
94,4.23E-01,14702.63
95,9.07E-01,14700.951
96,1.40E+00,14699.27
97,1.36E+00,14697.591
98,7.10E-01,14695.91
99,3.46E-01,14694.23
100,2.12E-01,14692.55
101,2.63E-01,14690.87
102,2.49E-01,14689.19
103,2.81E-01,14687.509
104,3.08E-01,14685.829
105,3.04E-01,14684.149
106,3.13E-01,14682.469
107,3.32E-01,14680.788
108,3.01E-01,14679.109
109,2.86E-01,14677.428
110,2.60E-01,14675.748
111,2.67E-01,14674.068
112,2.36E-01,14672.387
113,2.49E-01,14670.707
114,3.13E-01,14669.026
115,4.75E-01,14667.346
116,7.25E-01,14665.665
117,7.27E-01,14663.985
118,4.57E-01,14662.304
119,2.74E-01,14660.624
120,3.13E-01,14658.944
121,3.35E-01,14657.263
122,3.61E-01,14655.582
123,2.91E-01,14653.901
124,2.57E-01,14652.221
125,2.64E-01,14650.541
126,3.06E-01,14648.86
127,3.13E-01,14647.179
128,3.37E-01,14645.498
129,3.24E-01,14643.818
130,3.23E-01,14642.137
