lk,ukf_a0v,uks_a0v , fh,fl, fc
1875,1.55951,0.14806,1.55951,0,0
1880,1.55931,0.146578,1.55931,0,0
1885,1.550405,0.13328,1.550405,0,0
1890,1.515476,0.129007,1.515476,0,0
1895,1.466529,0.124704,1.466529,0,0
1900,1.432495,0.163111,1.432495,0,0
1905,1.451178,0.137292,1.451178,0,0
1910,1.454121,0.131694,1.454121,0,0
1915,1.449397,0.133826,1.449397,0,0
1920,1.450922,0.14712,1.450922,0,0
1925,1.451281,0.139575,1.451281,0,0
1930,1.474975,0.129389,1.474975,0,0
1935,1.494214,0.124357,1.494214,0,0
1940,1.510554,0.138314,1.510554,0,0
1945,1.513651,0.153138,1.513651,0,0
1950,1.516806,0.124905,1.516806,0,0
1955,1.517341,0.07606,1.517341,0,0
1960,1.512847,0.127027,1.512847,0,0
1965,1.494291,0.226019,1.494291,0,0
1970,1.55698,0.179347,1.55698,0,0
1975,1.612514,0.162644,1.612514,0,0
1980,1.577098,0.259394,1.577098,0,0
1985,1.575749,0.213278,1.575749,0,0
1990,1.462473,0.206776,1.462473,0,0
1995,1.346299,0.139194,1.346299,0,0
2000,1.41597,0.153328,1.41597,0,0
2005,1.447126,0.108865,1.447126,0,0
2010,1.408796,0.153059,1.408796,0,0
2015,1.410385,0.173781,1.410385,0,0
2020,1.405684,0.188282,1.405684,0,0
2025,1.3852,0.152139,1.3852,0,0
2030,1.423803,0.166519,1.423803,0,0
2035,1.394906,0.100028,1.394906,0,0
2040,1.351791,0.155173,1.351791,0,0
2045,1.385793,0.107645,1.385793,0,0
2050,1.408168,0.067954,1.408168,0,0
2055,1.415598,0.042778,1.415598,0,0
2060,1.402481,0.107492,1.402481,0,0
2065,1.358988,0.116941,1.358988,0,0
2070,1.377304,0.136215,1.377304,0,0
2075,1.463738,0.228003,1.463738,0,0
2080,1.526606,0.131936,1.526606,0,0
2085,1.54047,0.205665,1.54047,0,0
2090,1.515747,0.124173,1.515747,0,0
2095,1.44425,0.05919,1.44425,0,0
2100,1.376611,0.18645,1.376611,0,0
2105,1.372526,0.277219,1.372526,0,0
2110,1.412419,0.216878,1.412419,0,0
2115,1.391838,0.148317,1.391838,0,0
2120,1.357974,0.077047,1.357974,0,0
2125,1.441591,0.121298,1.441591,0,0
2130,1.41903,0.16323,1.41903,0,0
2135,1.31145,0.090957,1.31145,0,0
2140,1.229758,0.091377,1.229758,0,0
2145,1.269933,0.127678,1.269933,0,0
2150,1.35926,0.184286,1.35926,0,0
2155,1.393734,0.154052,1.393734,0,0
2160,1.427121,0.13704,1.427121,0,0
2165,1.305439,0.142756,1.305439,0,0
2170,1.240546,0.131389,1.240546,0,0
2175,1.179187,0.140663,1.179187,0,0
2180,1.182986,0.086785,1.182986,0,0
2185,1.288429,0.14381,1.288429,0,0
2190,1.352522,0.168982,1.352522,0,0
2195,1.378479,0.193714,1.378479,0,0
2200,1.397609,0.236743,1.397609,0,0
2205,1.314984,0.133008,1.314984,0,0
2210,1.219098,0.133576,1.219098,0,0
2215,1.155421,0.124856,1.155421,0,0
2220,1.142993,0.151898,1.142993,0,0
2225,1.144974,0.139614,1.144974,0,0
2230,1.168503,0.122089,1.168503,0,0
2235,1.14432,0.041959,1.14432,0,0
2240,1.177647,0.052433,1.177647,0,0
2245,1.117671,0.100182,1.117671,0,0
2250,1.161664,0.167402,1.161664,0,0
2255,1.164579,0.187422,1.164579,0,0
2260,1.148342,0.241003,1.148342,0,0
2265,1.143074,0.203887,1.143074,0,0
2270,1.158862,0.163715,1.158862,0,0
2275,1.155643,0.14747,1.155643,0,0
2280,1.167622,0.151132,1.167622,0,0
2285,1.178513,0.164146,1.178513,0,0
2290,1.231651,0.192073,1.231651,0,0
2295,1.258505,0.201612,1.258505,0,0
2300,1.227084,0.162219,1.227084,0,0
2305,1.213497,0.212208,1.213497,0,0
2310,1.234254,0.240322,1.234254,0,0
2315,1.221961,0.197776,1.221961,0,0
2320,1.118709,0.139466,1.118709,0,0
2325,1.11494,0.132271,1.11494,0,0
2330,1.162866,0.183862,1.162866,0,0
2335,1.144673,0.172303,1.144673,0,0
2340,1.104673,0.177083,1.104673,0,0
2345,1.082394,0.163194,1.082394,0,0
2350,1.064599,0.166363,1.064599,0,0
2355,1.028451,0.142034,1.028451,0,0
2360,1.040521,0.149049,1.040521,0,0
2365,1.0226,0.12173,1.0226,0,0
2370,1.03288,0.217289,1.03288,0,0
2375,1.016219,0.13067,1.016219,0,0
2380,1.081483,0.165741,1.081483,0,0
2385,1.01178,0.153876,1.01178,0,0
2390,0.897727,0.162933,0.897727,0,0
2395,0.887073,0.127494,0.887073,0,0
2400,0.960789,0.135029,0.960789,0,0
2405,0.9454,0.103983,0.9454,0,0
2410,0.878021,0.129139,0.878021,0,0
2415,0.924556,0.189925,0.924556,0,0
2420,0.97092,0.140232,0.97092,0,0
2425,1.009371,0.111267,1.009371,0,0
2430,1.064369,0.09321,1.064369,0,0
2435,1.017737,0.108929,1.017737,0,0
2440,0.982849,0.124821,0.982849,0,0
2445,1.040864,0.153643,1.040864,0,0
2450,1.086633,0.106889,1.086633,0,0
2455,1.097703,0.108242,1.097703,0,0
2460,1.102613,0.116665,1.102613,0,0
2465,1.077132,0.115347,1.077132,0,0
2470,1.015053,0.115958,1.015053,0,0
2475,0.990589,0.135513,0.990589,0,0
2480,1.003847,0.13292,1.003847,0,0
2485,0.959149,0.095465,0.959149,0,0
2490,0.914129,0.028409,0.914129,0,0
2495,0.890856,0.100921,0.890856,0,0
2500,1.048169,0.145319,1.048169,0,0
2505,1.03285,0.092095,1.03285,0,0
2510,0.991732,0.085518,0.991732,0,0
2515,1.031929,0.114238,1.031929,0,0
2520,0.983655,0.091649,0.983655,0,0
2525,0.927448,0.103504,0.927448,0,0
2530,0.917317,0.108963,0.917317,0,0
2535,0.986263,0.095794,0.986263,0,0
2540,0.991221,0.147389,0.991221,0,0
2545,0.941384,0.120009,0.941384,0,0
2550,0.95825,0.082045,0.95825,0,0
2555,0.986258,0.079799,0.986258,0,0
2560,0.994516,0.070965,0.994516,0,0
2565,1.016402,0.094461,1.016402,0,0
2570,1.074358,0.094371,1.074358,0,0
2575,1.039314,0.073713,1.039314,0,0
2580,0.793666,0.192727,0.793666,0,0
2585,0.766393,0.251636,0.766393,0,0
2590,0.950952,0.103311,0.950952,0,0
2595,1.041492,0.091196,1.041492,0,0
2600,1.040669,0.097612,1.040669,0,0
2605,1.018071,0.091509,1.018071,0,0
2610,1.02571,0.114193,1.02571,0,0
2615,1.015422,0.135181,1.015422,0,0
2620,1.048844,0.0836,1.048844,0,0
2625,1.039886,0.056493,1.039886,0,0
2630,1.017217,0.060397,1.017217,0,0
2635,1.059603,0.069127,1.059603,0,0
2640,1.064705,0.051255,1.064705,0,0
2645,1.100167,0.030613,1.100167,0,0
2650,1.144326,0.059283,1.144326,0,0
2655,1.150931,0.071509,1.150931,0,0
2660,1.108117,0.022794,1.108117,0,0
2665,1.065427,0.088564,1.065427,0,0
2670,1.011902,0.045255,1.011902,0,0
2675,1.008321,0.077803,1.008321,0,0
2680,1.065549,0.069442,1.065549,0,0
2685,1.090489,0.07406,1.090489,0,0
2690,1.055726,0.030097,1.055726,0,0
2695,0.997226,0.04221,0.997226,0,0
2700,1.015496,0.081491,1.015496,0,0
2705,1.054217,0.084491,1.054217,0,0
2710,0.997694,0.030513,0.997694,0,0
2715,0.992235,0.078055,0.992235,0,0
2720,0.993181,0.067465,0.993181,0,0
2725,0.978159,0.063144,0.978159,0,0
2730,0.996837,0.033146,0.996837,0,0
2735,1.035138,0.047884,1.035138,0,0
2740,1.031072,0.043305,1.031072,0,0
2745,0.98061,0.018059,0.98061,0,0
2750,0.959419,0.110296,0.959419,0,0
2755,0.921392,0.073828,0.921392,0,0
2760,0.93869,0.046158,0.93869,0,0
2765,0.981846,0.071149,0.981846,0,0
2770,0.989572,0.121713,0.989572,0,0
2775,1.026034,0.106182,1.026034,0,0
2780,1.087187,0.131573,1.087187,0,0
2785,1.039397,0.132874,1.039397,0,0
2790,1.013213,0.094801,1.013213,0,0
2795,0.95979,0.041534,0.95979,0,0
2800,0.854565,0.078514,0.854565,0,0
2805,0.847115,0.137298,0.847115,0,0
2810,0.920482,0.142214,0.920482,0,0
2815,1.02754,0.088187,1.02754,0,0
2820,1.068462,0.100372,1.068462,0,0
2825,1.036374,0.065682,1.036374,0,0
2830,1.002689,0.039626,1.002689,0,0
2835,1.023119,0.053599,1.023119,0,0
2840,1.050926,0.059097,1.050926,0,0
2845,1.035849,0.062678,1.035849,0,0
2850,0.998238,0.067489,0.998238,0,0
2855,0.961054,0.055876,0.961054,0,0
2860,0.959937,0.062767,0.959937,0,0
2865,0.992102,0.142916,0.992102,0,0
2870,1.003491,0.050956,1.003491,0,0
2875,0.990969,0.041207,0.990969,0,0
2880,0.981512,0.033273,0.981512,0,0
2885,1.003459,0.061658,1.003459,0,0
2890,1.025574,0.068926,1.025574,0,0
2895,1.007366,0.074471,1.007366,0,0
2900,0.995669,0.056199,0.995669,0,0
2905,1.016709,0.045954,1.016709,0,0
2910,1.076558,0.062657,1.076558,0,0
2915,1.082485,0.062176,1.082485,0,0
2920,1.086017,0.08616,1.086017,0,0
2925,1.040866,0.046609,1.040866,0,0
2930,1.027064,0.05403,1.027064,0,0
2935,1.044562,0.067059,1.044562,0,0
2940,1.042548,0.071031,1.042548,0,0
2945,1.068666,0.080013,1.068666,0,0
2950,1.022596,0.030081,1.022596,0,0
2955,1.065236,0.0714,1.065236,0,0
2960,1.095379,0.063424,1.095379,0,0
2965,1.071008,0.070751,1.071008,0,0
2970,1.061609,0.055468,1.061609,0,0
2975,1.080706,0.066867,1.080706,0,0
2980,1.072428,0.053948,1.072428,0,0
2985,1.054782,0.04937,1.054782,0,0
2990,1.079901,0.118297,1.079901,0,0
2995,1.070195,0.082164,1.070195,0,0
3000,1.075974,0.08822,1.075974,0,0
3005,1.042763,0.05406,1.042763,0,0
3010,1.066428,0.041332,1.066428,0,0
3015,1.042527,0.066653,1.042527,0,0
3020,1.001714,0.068052,1.001714,0,0
3025,1.014394,0.021053,1.014394,0,0
3030,1.019927,0.037361,1.019927,0,0
3035,1.022885,0.046336,1.022885,0,0
3040,1.057637,0.091507,1.057637,0,0
3045,1.051592,0.088635,1.051592,0,0
3050,1.036622,0.049533,1.036622,0,0
3055,1.036418,0.041269,1.036418,0,0
3060,1.005969,0.054219,1.005969,0,0
3065,0.974454,0.071023,0.974454,0,0
3070,0.956507,0.05031,0.956507,0,0
3075,0.972521,0.033598,0.972521,0,0
3080,1.04536,0.066339,1.04536,0,0
3085,1.046632,0.049383,1.046632,0,0
3090,1.01376,0.032364,1.01376,0,0
3095,1.027994,0.01787,1.027994,0,0
3100,1.011138,0.046025,1.011138,0,0
3105,0.982877,0.038683,0.982877,0,0
3110,0.95348,0.048619,0.95348,0,0
3115,0.946203,0.057557,0.946203,0,0
3120,0.965026,0.039608,0.965026,0,0
3125,1.013101,0.048267,1.013101,0,0
3130,1.054124,0.039132,1.054124,0,0
3135,1.007729,0.064175,1.007729,0,0
3140,0.985666,0.046084,0.985666,0,0
3145,1.034042,0.139487,1.034042,0,0
3150,1.038314,0.04883,1.038314,0,0
3155,1.024035,0.085626,1.024035,0,0
3160,1.003496,0,1.003496,0,0
3165,1.025234,0.033577,1.025234,0,0
3170,1.052744,0.010975,1.052744,0,0
3175,1.045524,0.045977,1.045524,0,0
3180,0.998782,0.049107,0.998782,0,0
3185,1.014678,0.035185,1.014678,0,0
