col,sky,wavelength
0,0.00E+00,18550.272
1,0.00E+00,18548.171
2,0.00E+00,18546.071
3,0.00E+00,18543.97
4,0.00E+00,18541.87
5,0.00E+00,18539.769
6,0.00E+00,18537.669
7,0.00E+00,18535.568
8,0.00E+00,18533.468
9,0.00E+00,18531.367
10,0.00E+00,18529.267
11,0.00E+00,18527.166
12,2.42E-01,18525.066
13,2.09E-01,18522.965
14,1.80E-01,18520.864
15,1.68E-01,18518.764
16,1.95E-01,18516.663
17,2.11E-01,18514.562
18,1.76E-01,18512.462
19,1.60E-01,18510.361
20,1.49E-01,18508.26
21,1.34E-01,18506.159
22,1.38E-01,18504.058
23,1.47E-01,18501.958
24,1.33E-01,18499.857
25,1.35E-01,18497.756
26,1.31E-01,18495.655
27,1.45E-01,18493.554
28,1.38E-01,18491.453
29,1.27E-01,18489.352
30,1.38E-01,18487.251
31,1.43E-01,18485.15
32,1.43E-01,18483.049
33,1.42E-01,18480.948
34,1.41E-01,18478.847
35,1.40E-01,18476.746
36,1.48E-01,18474.645
37,1.63E-01,18472.544
38,1.45E-01,18470.442
39,1.64E-01,18468.341
40,1.78E-01,18466.24
41,1.97E-01,18464.139
42,3.39E-01,18462.038
43,4.29E-01,18459.936
44,3.79E-01,18457.835
45,2.47E-01,18455.734
46,1.72E-01,18453.632
47,1.71E-01,18451.531
48,1.43E-01,18449.43
49,1.40E-01,18447.328
50,1.39E-01,18445.227
51,1.28E-01,18443.126
52,1.56E-01,18441.024
53,1.61E-01,18438.923
54,1.92E-01,18436.821
55,2.35E-01,18434.72
56,2.47E-01,18432.618
57,2.09E-01,18430.517
58,1.44E-01,18428.415
59,1.22E-01,18426.314
60,1.40E-01,18424.212
61,1.33E-01,18422.11
62,1.41E-01,18420.009
63,1.40E-01,18417.907
64,1.61E-01,18415.805
65,1.49E-01,18413.703
66,1.32E-01,18411.602
67,1.47E-01,18409.5
68,1.24E-01,18407.398
69,9.35E-02,18405.297
70,1.31E-01,18403.195
71,1.27E-01,18401.093
72,1.32E-01,18398.991
73,1.52E-01,18396.889
74,1.38E-01,18394.787
75,1.19E-01,18392.685
76,1.42E-01,18390.583
77,1.39E-01,18388.481
78,1.45E-01,18386.379
79,1.59E-01,18384.277
80,1.61E-01,18382.175
81,1.52E-01,18380.073
82,1.57E-01,18377.971
83,1.55E-01,18375.869
84,1.41E-01,18373.767
85,1.35E-01,18371.665
86,1.74E-01,18369.563
87,1.55E-01,18367.461
88,1.43E-01,18365.358
89,1.56E-01,18363.256
90,1.45E-01,18361.154
91,1.37E-01,18359.052
92,1.68E-01,18356.949
93,1.69E-01,18354.847
94,1.39E-01,18352.745
95,1.31E-01,18350.642
96,1.36E-01,18348.54
97,1.48E-01,18346.438
98,1.69E-01,18344.335
99,1.63E-01,18342.233
100,1.56E-01,18340.13
101,1.69E-01,18338.028
102,1.79E-01,18335.925
103,1.79E-01,18333.823
104,1.81E-01,18331.72
105,1.93E-01,18329.618
106,1.66E-01,18327.515
107,1.59E-01,18325.413
108,1.82E-01,18323.31
109,2.36E-01,18321.207
110,2.00E-01,18319.105
111,1.81E-01,18317.002
112,1.84E-01,18314.899
113,1.70E-01,18312.797
114,1.61E-01,18310.694
115,1.73E-01,18308.591
116,1.81E-01,18306.488
117,1.74E-01,18304.386
118,1.79E-01,18302.283
119,2.06E-01,18300.18
120,2.52E-01,18298.077
121,2.82E-01,18295.974
122,2.39E-01,18293.871
123,1.95E-01,18291.768
124,1.81E-01,18289.665
125,1.87E-01,18287.562
126,1.83E-01,18285.459
127,1.73E-01,18283.356
128,2.18E-01,18281.253
129,2.49E-01,18279.15
130,2.43E-01,18277.047
131,2.69E-01,18274.944
132,2.83E-01,18272.841
133,2.56E-01,18270.738
134,2.32E-01,18268.635
135,1.67E-01,18266.532
136,1.49E-01,18264.428
137,1.91E-01,18262.325
138,2.16E-01,18260.222
139,3.69E-01,18258.119
140,8.96E-01,18256.015
141,1.29E+00,18253.912
142,8.96E-01,18251.809
143,3.51E-01,18249.705
144,2.14E-01,18247.602
145,2.08E-01,18245.499
146,2.25E-01,18243.395
147,2.22E-01,18241.292
148,2.35E-01,18239.188
149,2.50E-01,18237.085
150,2.98E-01,18234.981
151,3.81E-01,18232.878
152,2.88E-01,18230.774
153,1.83E-01,18228.671
154,1.67E-01,18226.567
155,1.63E-01,18224.463
156,1.71E-01,18222.36
157,1.62E-01,18220.256
158,1.66E-01,18218.152
159,1.68E-01,18216.049
160,2.93E-01,18213.945
161,4.60E-01,18211.841
162,4.40E-01,18209.738
163,2.52E-01,18207.634
164,2.11E-01,18205.53
165,1.95E-01,18203.426
166,1.69E-01,18201.322
167,1.71E-01,18199.218
168,1.90E-01,18197.114
169,1.90E-01,18195.011
170,2.05E-01,18192.907
171,2.45E-01,18190.803
172,2.07E-01,18188.699
173,1.57E-01,18186.595
174,1.58E-01,18184.491
175,1.82E-01,18182.387
176,2.20E-01,18180.283
177,2.23E-01,18178.179
178,2.27E-01,18176.074
179,2.15E-01,18173.971
180,1.89E-01,18171.866
181,1.89E-01,18169.762
182,2.09E-01,18167.658
183,2.18E-01,18165.554
184,1.93E-01,18163.45
185,1.56E-01,18161.345
186,1.91E-01,18159.241
187,1.88E-01,18157.137
188,1.87E-01,18155.033
189,2.03E-01,18152.928
190,1.92E-01,18150.824
191,2.15E-01,18148.719
192,2.40E-01,18146.615
193,2.60E-01,18144.511
194,2.45E-01,18142.406
195,2.76E-01,18140.302
196,2.50E-01,18138.197
197,2.32E-01,18136.093
198,2.33E-01,18133.988
199,2.18E-01,18131.884
200,2.10E-01,18129.779
201,1.96E-01,18127.675
202,2.18E-01,18125.57
203,5.49E-01,18123.465
204,2.82E+00,18121.361
205,6.89E+00,18119.256
206,6.19E+00,18117.151
207,1.94E+00,18115.047
208,3.37E-01,18112.942
209,1.97E-01,18110.837
210,1.96E-01,18108.732
211,2.00E-01,18106.627
212,2.04E-01,18104.523
213,2.27E-01,18102.418
214,2.48E-01,18100.313
215,2.73E-01,18098.208
216,2.74E-01,18096.103
217,2.72E-01,18093.998
218,2.60E-01,18091.893
219,2.41E-01,18089.788
220,2.67E-01,18087.683
221,2.76E-01,18085.579
222,2.89E-01,18083.474
223,3.03E-01,18081.368
224,2.55E-01,18079.263
225,2.36E-01,18077.158
226,2.30E-01,18075.053
227,3.08E-01,18072.948
228,1.21E+00,18070.843
229,2.81E+00,18068.738
230,2.45E+00,18066.632
231,7.49E-01,18064.527
232,2.06E-01,18062.422
233,1.98E-01,18060.317
234,2.16E-01,18058.211
235,3.26E-01,18056.106
236,4.09E-01,18054.001
237,3.94E-01,18051.896
238,5.26E-01,18049.79
239,5.33E-01,18047.685
240,4.22E-01,18045.579
241,4.24E-01,18043.474
242,4.24E-01,18041.368
243,3.62E-01,18039.263
244,3.65E-01,18037.157
245,3.99E-01,18035.052
246,5.19E-01,18032.946
